entity_id,sku,product_name,brand,type_id,attribute_set_id,category_id,cost_price,list_price,country_of_origin,is_seasonal,season_tag,is_active,created_at,updated_at
25,TS0025,Longchamp Le Pliage L Tote Navy,Longchamp,simple,1,6,3200000,6000000,Pháp,0,,1,2021-03-11,2023-08-24
26,TS0026,Longchamp Le Pliage Neo M Khaki,Longchamp,simple,1,6,4500000,8500000,Pháp,0,,1,2021-12-08,2024-01-11
27,TS0027,Longchamp Roseau Zip Wallet,Longchamp,simple,4,9,3800000,7200000,Pháp,0,,1,2021-06-22,2023-01-29
28,TS0028,Sandro Floral Midi Dress,Sandro,simple,2,7,5500000,10500000,Pháp,1,Hè,1,2015-10-12,2022-04-04
29,TS0029,Sandro Blazer Classic Black,Sandro,simple,2,7,7500000,14500000,Pháp,0,,1,2017-07-22,2023-08-16
30,TS0030,Maje Sequin Mini Dress Gold,Maje,simple,2,7,6200000,11800000,Pháp,1,Tết,1,2015-11-23,2023-04-22
31,TS0031,Patek Philippe Calatrava 5196G,Patek Philippe,simple,5,10,350000000,650000000,Thụy Sĩ,0,,1,2016-02-18,2024-02-18
32,TS0032,Patek Philippe Nautilus 5711/1A,Patek Philippe,simple,5,10,750000000,1400000000,Thụy Sĩ,0,,1,2018-02-12,2024-07-17
33,TS0033,Patek Philippe Aquanaut 5168G,Patek Philippe,simple,5,10,480000000,895000000,Thụy Sĩ,0,,1,2019-02-03,2022-11-30
34,TS0034,Patek Philippe Annual Calendar 5205G,Patek Philippe,simple,5,10,620000000,1150000000,Thụy Sĩ,0,,1,2019-02-25,2023-12-29
35,TS0035,Jaeger-LeCoultre Reverso Classic,Jaeger-LeCoultre,simple,5,10,150000000,280000000,Thụy Sĩ,0,,1,2017-05-08,2023-07-01
36,TS0036,Jaeger-LeCoultre Master Ultra Thin,Jaeger-LeCoultre,simple,5,10,220000000,415000000,Thụy Sĩ,0,,1,2015-10-20,2022-12-17
37,TS0037,Chopard L.U.C XPS Rose Gold,Chopard,simple,5,10,130000000,248000000,Thụy Sĩ,0,,1,2020-12-27,2023-05-17
38,TS0038,Chopard Happy Diamonds Pendant,Chopard,simple,5,11,55000000,105000000,Thụy Sĩ,1,Tết,1,2016-10-31,2024-08-04
39,TS0039,Chopard Ice Cube Ring 18K White Gold,Chopard,simple,5,11,48000000,92000000,Thụy Sĩ,0,,1,2019-04-04,2023-07-07
40,TS0040,Piaget Altiplano Ultimate Concept,Piaget,simple,5,10,280000000,525000000,Thụy Sĩ,0,,1,2021-03-31,2023-03-26
41,TS0041,Piaget Possession Ring Diamond,Piaget,simple,5,11,35000000,68000000,Thụy Sĩ,1,Tết,1,2018-08-21,2022-04-25
42,TS0042,Chaumet Bee My Love Ring Gold,Chaumet,simple,5,11,42000000,80000000,Pháp,1,Tết,1,2017-07-27,2022-03-07
43,TS0043,Chaumet Joséphine Aigrette Earrings,Chaumet,simple,5,11,65000000,125000000,Pháp,0,,1,2018-07-16,2024-04-01
44,TS0044,Chaumet Liens Évidence Bracelet,Chaumet,simple,5,11,55000000,105000000,Pháp,0,,1,2018-01-01,2022-05-16
45,TS0045,Bang & Olufsen Beolab 28,Bang & Olufsen,simple,6,12,120000000,225000000,Đan Mạch,0,,1,2017-05-14,2023-10-07
46,TS0046,Bang & Olufsen Beosound A5,Bang & Olufsen,simple,6,12,15000000,28500000,Đan Mạch,0,,1,2017-05-20,2024-10-19
47,TS0047,Bang & Olufsen Beoplay H95,Bang & Olufsen,simple,6,12,15500000,29500000,Đan Mạch,0,,1,2019-06-09,2024-07-28
48,TS0048,Devialet Phantom I 108dB,Devialet,simple,6,12,55000000,102000000,Pháp,0,,1,2016-08-08,2023-06-27
49,TS0049,Devialet Mania,Devialet,simple,6,12,12000000,22500000,Pháp,0,,1,2016-07-25,2023-05-21
50,TS0050,Lalique Bacchantes Vase Clear,Lalique,simple,6,13,18000000,35000000,Pháp,1,Tết,1,2021-04-18,2023-06-23
51,TS0051,Lalique Deux Paons Vase Amber,Lalique,simple,6,13,28000000,54000000,Pháp,0,,1,2021-07-22,2024-05-27
52,TS0052,Christofle Mood Gift Set Silver,Christofle,simple,6,13,12000000,23000000,Pháp,1,Tết,1,2021-07-18,2024-03-28
53,TS0053,Christofle Albi Dinner Set 24pcs,Christofle,simple,6,13,38000000,72000000,Pháp,0,,1,2019-01-22,2023-03-26
54,TS0054,Diptyque Baies Candle 190g,Diptyque,simple,7,14,1200000,2300000,Pháp,1,Tết,1,2016-07-20,2024-11-09
55,TS0055,Diptyque Do Son EDP 75ml,Diptyque,simple,7,14,3200000,6000000,Pháp,0,,1,2020-07-14,2022-07-06
56,TS0056,Diptyque Philosykos EDT 100ml,Diptyque,simple,7,14,3500000,6500000,Pháp,0,,1,2015-07-12,2022-08-13
57,TS0057,Diptyque Oval Diffuser,Diptyque,simple,7,14,2800000,5200000,Pháp,0,,1,2016-09-18,2022-11-24
58,TS0058,Biologique Recherche P50 Lotion 250ml,Biologique Recherche,simple,7,15,2200000,4200000,Pháp,0,,1,2019-09-26,2022-05-11
59,TS0059,Biologique Recherche Crème Dermopurifiante,Biologique Recherche,simple,7,15,3500000,6500000,Pháp,0,,1,2019-04-26,2024-02-21
60,TS0060,Biologique Recherche Serum Complexe Iribiol,Biologique Recherche,simple,7,15,4800000,9000000,Pháp,0,,1,2021-09-06,2024-08-16
